Name,ObsID,RA_deg,Dec_deg,z,Class,Flux_0p5_4p5,Log_Lx,SCID,Bmag,Rmag,BR_color
XWAS J000002.7-251136,X21207_032,0.011125,-25.193555555555555,1.314,BLAGN,3.1,44.5,283502201403207,21.33,21.79,-0.46000000000000085
XWAS J000021.2-250812,X21207_051,0.08820833333333335,-25.13686111111111,0.995,BLAGN,2.2,44.04,283502201406064,20.89,20.51,0.379999999999999
XWAS J000022.8-251222,X21207_028,0.09516666666666666,-25.20638888888889,1.6,BLAGN,2.5,44.61,283502201402588,19.92,21.05,-1.129999999999999
XWAS J000025.3-251141,X21207_031,0.10579166666666666,-25.194833333333335,0.09,Gal,0.4,40.92,283502201403144,16.35,17.52,-1.1699999999999982
XWAS J000025.4-245421,X21207_112,0.10645833333333334,-24.905777777777775,0.72,BLAGN,1.7,43.59,283502201418119,19.12,20.43,-1.3099999999999987
XWAS J000026.0-250649,X21207_058,0.10858333333333332,-25.113972222222223,0.433,BLAGN,2.0,43.12,283502201407236,20.58,21.41,-0.8300000000000018
XWAS J000029.8-251213,X21207_029,0.12429166666666666,-25.20475,0.16,Gal,7.1,42.7,283502201402660,17.39,19.17,-1.7800000000000011
XWAS J000031.8-245501,X21207_110,0.132875,-24.916638888888887,0.286,NELG,10.2,43.42,283502201417551,20.12,,
XWAS J000033.1-250917,X21207_046,0.13820833333333335,-25.1555,0.324,NELG,0.2,41.87,283502201405124,19.01,20.8,-1.7899999999999991
XWAS J000034.6-250620,X21207_060,0.14433333333333334,-25.105944444444447,1.232,BLAGN,3.0,44.42,283502201407669,19.8,22.07,-2.2699999999999996
XWAS J000036.6-250104,X21207_092,0.15250000000000002,-25.018194444444443,0.592,NELG,1.5,43.33,564977178154666,21.09,,
XWAS J000100.1-250501,X21207_069,0.25066666666666665,-25.08352777777778,0.851,BLAGN,9.5,44.51,283781374297752,20.77,,
XWAS J000102.4-245849,X21207_101,0.26025000000000004,-24.980361111111108,0.433,BLAGN,9.5,43.8,283781374303399,20.13,22.94,-2.8100000000000023
XWAS J000106.7-250847,X21207_048,0.27808333333333335,-25.146694444444442,1.355,BLAGN,3.3,44.56,283781374294122,20.5,23.54,-3.039999999999999
XWAS J000108.9-251613,X21207_016,0.28795833333333337,-25.27036111111111,2.8,BLAGN,0.6,44.67,283502201399377,21.98,,
XWAS J000122.6-250020,X21207_096,0.3444166666666667,-25.005277777777778,0.96,BLAGN,15.3,44.85,283502201412632,18.61,19.76,-1.1500000000000021
XWAS J000222.4-255657,X00821_159,0.594125,-25.94913888888889,0.904,BLAGN,2.7,44.02,283502201366337,21.28,21.23,0.05000000000000071
XWAS J000241.9-255414,X00821_176,0.6757083333333334,-25.903916666666664,0.1,Gal,0.6,41.23,283502201368671,15.72,17.12,-1.4000000000000004
XWAS J000253.5-260345,X00821_088,0.723375,-26.062916666666666,0.32,BLAGN,82.2,44.44,283502201360456,17.47,17.82,-0.3500000000000014
XWAS J000257.9-255749,X00821_153,0.7412083333333334,-25.96411111111111,1.81,BLAGN,3.3,44.89,283502201365614,20.6,20.89,-0.28999999999999915
